order_id,customer_id,order_date,order_time,delivery_time,total_cost,item_count,payment_method,customer_rating,restaurant_id,restaurant_name,city,area,cuisine,avg_rating,total_ratings,price_range,delivery_available
38221dfc,ef2b0995,2024-02-10,16:47,79,1344.17,5,UPI,3.8,760d1a28,Restaurant_457,Mumbai,Area_E,Indian,4.1,3434,Medium,No
04b2dc08,bad21b62,2024-01-15,17:17,63,1672.1,4,Net Banking,2.5,502053dd,Restaurant_343,Bangalore,Area_B,Thai,4.2,3264,Low,No
6e1098fe,308d0b15,2024-05-06,9:51,32,992.86,1,Wallet,2,74d2ed66,Restaurant_336,Chennai,Area_E,Mexican,4.8,1100,High,Yes
d32f543e,a9e0d903,2024-02-02,6:29,31,1033.8,3,Credit Card,3.5,d56c5b5e,Restaurant_487,Delhi,Area_C,Thai,3.9,1584,High,No
db1a2c5f,639c9f46,2024-07-28,2:40,50,1365.96,9,Wallet,1.6,c867f4c3,Restaurant_326,Delhi,Area_D,Chinese,3.1,1320,Low,Yes
f9b9c14d,4fc9bd6b,2024-12-04,12:55,31,918.36,6,COD,3.3,c2dd51cf,Restaurant_361,Chennai,Area_D,Chinese,3.3,3385,High,No
617e3e23,3c5aacd7,2024-12-08,2:37,85,732.02,4,Net Banking,4.7,f5e8e8a9,Restaurant_458,Delhi,Area_B,Chinese,3.1,1087,Medium,Yes
d09cc1e9,bb87ba85,2024-09-14,11:11,17,618.44,10,UPI,2.9,e11f3ddf,Restaurant_263,Bangalore,Area_B,Mexican,3.6,786,Medium,Yes
2f3bde66,7f1e90e9,2024-01-27,1:36,54,462.92,8,Wallet,1.4,bfbb1501,Restaurant_2,Mumbai,Area_A,Chinese,4.1,2773,High,No
553fea61,cb7a4d52,2024-02-18,17:08,17,317.6,9,Wallet,2.2,8a592a8a,Restaurant_121,Chennai,Area_D,Italian,3.2,3440,High,No
2b1a8b3c,ca99ce50,2024-12-14,14:59,86,1343.94,5,UPI,4.2,ce114fee,Restaurant_262,Bangalore,Area_D,Mexican,2.5,1388,Medium,No
4a6b7549,f5d06841,2024-03-16,19:05,23,1065.32,7,Credit Card,2.9,bc4f828e,Restaurant_45,Bangalore,Area_B,Indian,2.9,2555,Low,No
5b594f80,c8530ddc,2024-08-10,6:20,89,889.19,10,COD,2.7,9.18E+07,Restaurant_338,Delhi,Area_B,Thai,3.6,2240,Medium,No
7280c654,ad976efe,2024-09-03,8:40,65,1082.97,8,Net Banking,2.6,62249dbf,Restaurant_337,Kolkata,Area_A,Italian,4.5,2651,Medium,Yes
b929b9a8,2617e33e,2024-09-13,8:09,87,1438.23,8,COD,2.7,9ac148bf,Restaurant_147,Delhi,Area_C,Mexican,2.6,1468,High,Yes
f1064510,aa6e3b9c,2024-11-18,6:25,53,916.43,4,UPI,2.7,4d9244b9,Restaurant_431,Kolkata,Area_C,Chinese,2.9,4143,Low,Yes
21d00a48,494ce647,2024-04-16,21:26,70,577.11,10,UPI,2.1,9ff72da6,Restaurant_173,Mumbai,Area_B,Indian,4.6,2224,Medium,Yes
